epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.790223129622,0.24026252238,0.0601969755689,0.789143496895,0.179732118511,0.040656798923
1,0.797487924639,0.167333831032,0.0362591884335,0.799709184074,0.153891752911,0.0316065715402
2,0.800940476227,0.152528633857,0.0309877101173,0.800577420616,0.144797032762,0.0283925214171
3,0.802909609731,0.143640020021,0.0278170398374,0.799939794731,0.139990552497,0.0267771621972
4,0.804212243398,0.138358901747,0.0259553398947,0.804822194099,0.132349300623,0.0239130043566
5,0.805347491074,0.133995406548,0.0243901400904,0.802975382805,0.130515037417,0.0233332158655
6,0.806097810618,0.131042244124,0.0233317497035,0.807796940708,0.128895632124,0.0225315982908
7,0.806720132478,0.128555902338,0.0224390388618,0.805218494892,0.125296047068,0.0214296905726
8,0.807224659475,0.126239027476,0.02161178283,0.808422322273,0.123336371088,0.0205916933
9,0.807630081336,0.124614950049,0.0210346031388,0.805818621349,0.121655985379,0.0201317956656
10,0.80798029267,0.123043518992,0.0204849304924,0.806055103683,0.120094510746,0.0195922709465
11,0.80824855423,0.121923612559,0.0200914323141,0.809697579956,0.121212428021,0.0198266121864
12,0.808552530384,0.120592715331,0.0196225948354,0.80463902998,0.121048874354,0.0200065310121
13,0.808847066498,0.119142180932,0.0191188050717,0.807989030457,0.115311893415,0.0178894397959
14,0.80902710371,0.118294714439,0.018829280891,0.809591454506,0.114786857009,0.0176491892934
15,0.809281739394,0.117207829316,0.0184512045811,0.810621810055,0.119494794655,0.0192214235067
16,0.809369325193,0.116914529049,0.0183521817784,0.808076785851,0.113119418156,0.0171324300781
17,0.809529824543,0.115969454936,0.0180308165312,0.81068775425,0.115702100015,0.0179230645686
18,0.809681418832,0.11536424282,0.0178169168234,0.810612628174,0.115386650395,0.017766726613
19,0.809867432563,0.114304722532,0.0174520282964,0.806489924717,0.11476372155,0.0177957404286
20,0.810013561471,0.113581875447,0.0172057954669,0.810635077572,0.112324181676,0.0167409689918
21,0.810126828734,0.113115460058,0.0170467226307,0.808376911163,0.110773069358,0.0163584476203
22,0.81020635643,0.112726756112,0.0169124259889,0.808119387722,0.110522361469,0.0162905078575
23,0.810311415799,0.112194465474,0.0167308777551,0.811237114048,0.112463378215,0.0168302782804
24,0.81043297259,0.111521655556,0.0164962177287,0.81042244873,0.109023800588,0.0156733327463
25,0.810546491305,0.110885944839,0.0162793321043,0.81129094286,0.111352380466,0.0164437955379
26,0.81061039505,0.110631370926,0.0161940302759,0.808384951687,0.10929325943,0.01589361846
27,0.810684757392,0.110202545687,0.0160472160071,0.811277680206,0.110089328194,0.0159787626371
28,0.810790305487,0.109699846542,0.0158723595301,0.811350896263,0.108186957586,0.0153952735081
29,0.81082051115,0.109637881871,0.0158533591956,0.809451021576,0.106781524098,0.0150002355054
30,0.810892538706,0.109148684072,0.0156912879889,0.811422704315,0.107818289971,0.0152676043138
31,0.810978593159,0.108608498204,0.0155037870179,0.808933801651,0.10686332016,0.0150476263538
32,0.81100454998,0.108660451027,0.0155223746558,0.811633798218,0.108098815632,0.0153748053983
33,0.811041006788,0.108534843334,0.015475996834,0.808954975605,0.106472472048,0.0149212577581
34,0.811087989076,0.108152426624,0.0153489292696,0.81163086729,0.106657478118,0.0148996160254
35,0.811155505816,0.10773797495,0.0152067297975,0.811915690136,0.110736652422,0.0162369141653
36,0.811217283694,0.107339444641,0.015073699302,0.81169438591,0.10675452199,0.0148957775652
37,0.811287331168,0.106906299746,0.0149278578763,0.811756128693,0.107162596989,0.0150097688437
38,0.811357291063,0.106475623127,0.0147822839295,0.811014796448,0.103159075451,0.0137203841791
39,0.811378699716,0.106516504383,0.014794380412,0.811732903481,0.105395079696,0.014426049605
40,0.811390180492,0.106456658347,0.0147745630225,0.809253573704,0.105174842572,0.0144782844767
41,0.811449107424,0.106021562262,0.0146308175112,0.811917856121,0.106027931023,0.0146290800273
42,0.811468983205,0.106077510417,0.014643956772,0.810364669514,0.1026727911,0.0135987128794
43,0.811524914583,0.105626887639,0.0144954353804,0.809312500668,0.104744819021,0.0143376780272
44,0.811561310228,0.10537585429,0.0144095218976,0.811437243938,0.102965741539,0.0136492459074
45,0.811609374809,0.105124697272,0.0143289731796,0.809836733246,0.103178755641,0.013805110386
46,0.811658418338,0.104885476895,0.0142457608153,0.811846683788,0.103151233888,0.013706517154
47,0.811679953766,0.104810706027,0.0142190533231,0.809599363518,0.103812832379,0.0140221215054
48,0.811683034992,0.104812537412,0.0142179781804,0.812065687561,0.104512259245,0.0141395274401
49,0.811725424767,0.104609260809,0.0141481462772,0.811362755013,0.101548436618,0.0131858889192
